                              reaper_dataset_name,                                     current_name,                                                                 url, num_merge_scenarios, num_file_merges,    cloc, num_stars, core_contribs
          jmeter-maven-plugin/jmeter-maven-plugin,          jmeter-maven-plugin/jmeter-maven-plugin,          https://github.com/jmeter-maven-plugin/jmeter-maven-plugin,                   2,               3,    6670,       332,             2
                   jmock-developers/jmock-library,                   jmock-developers/jmock-library,                   https://github.com/jmock-developers/jmock-library,                   2,               2,   15454,       119,             4
                                jmxtrans/jmxtrans,                                jmxtrans/jmxtrans,                                https://github.com/jmxtrans/jmxtrans,                   7,              10,   30681,      1598,            27
                    joel-costigliola/assertj-core,                    joel-costigliola/assertj-core,                    https://github.com/joel-costigliola/assertj-core,                  15,             122,  353593,      1759,            13
                         jsevellec/cassandra-unit,                         jsevellec/cassandra-unit,                         https://github.com/jsevellec/cassandra-unit,                   4,               8,    2837,       404,             7
                                kairosdb/kairosdb,                                kairosdb/kairosdb,                                https://github.com/kairosdb/kairosdb,                   5,               5,   63425,      1540,             2
                                   kohsuke/args4j,                                   kohsuke/args4j,                                   https://github.com/kohsuke/args4j,                   8,              13,    8537,       679,             4
                               kohsuke/github-api,                                 hub4j/github-api,                                 https://github.com/hub4j/github-api,                  15,              37,   42139,       667,            12
                                    komoot/photon,                                    komoot/photon,                                    https://github.com/komoot/photon,                  10,              17,    5582,       975,             6
                                      larsga/Duke,                                      larsga/Duke,                                      https://github.com/larsga/Duke,                   7,              12,   25230,       579,             1
                               libgdx/box2dlights,                               libgdx/box2dlights,                               https://github.com/libgdx/box2dlights,                   2,               2,    4533,       206,             8
                                   linkedin/camus,                                   linkedin/camus,                                   https://github.com/linkedin/camus,                  14,              14,   13832,       850,            12
                    liquibase/liquibase-hibernate,                    liquibase/liquibase-hibernate,                    https://github.com/liquibase/liquibase-hibernate,                   3,               3,    5398,       182,             8
                                    magefree/mage,                                    magefree/mage,                                    https://github.com/magefree/mage,                  15,              23, 1782052,      1060,            15
              marceloverdijk/lesscss-maven-plugin,              marceloverdijk/lesscss-maven-plugin,              https://github.com/marceloverdijk/lesscss-maven-plugin,                   1,               1,    1524,       176,             5
                markdenihan/owaspSecurityShepherd,                           OWASP/SecurityShepherd,                           https://github.com/OWASP/SecurityShepherd,                   1,              15,   64642,       820,             7
                 masterthought/cucumber-reporting,              damianszczepanik/cucumber-reporting,              https://github.com/damianszczepanik/cucumber-reporting,                  15,              27,   13368,       396,             2
                       maven-nar/nar-maven-plugin,                       maven-nar/nar-maven-plugin,                       https://github.com/maven-nar/nar-maven-plugin,                  15,              67,   53937,       211,            10
                             mboudreau/Alternator,                             mboudreau/Alternator,                             https://github.com/mboudreau/Alternator,                  10,              18,   42612,        77,             3
                                    mgodave/barge,                                    mgodave/barge,                                    https://github.com/mgodave/barge,                   2,              14,   19997,        86,             2
                                        mvel/mvel,                                        mvel/mvel,                                        https://github.com/mvel/mvel,                  12,              16,   82004,       693,             3
                                mybatis/mybatis-3,                                mybatis/mybatis-3,                                https://github.com/mybatis/mybatis-3,                  15,              28,   99846,     13625,             6
                                    ning/compress,                                    ning/compress,                                    https://github.com/ning/compress,                   1,               2,    9218,       218,             2
 nishio-dens/bitbucket-pullrequest-builder-plugin, nishio-dens/bitbucket-pullrequest-builder-plugin, https://github.com/nishio-dens/bitbucket-pullrequest-builder-plugin,                  10,              16,    3694,       122,            12
                                notnoop/java-apns,                                notnoop/java-apns,                                https://github.com/notnoop/java-apns,                   8,              14,   10779,      1748,             5
                                      ontop/ontop,                                      ontop/ontop,                                      https://github.com/ontop/ontop,                  15,              55,  207180,       350,             7
                   opendatalab-de/geojson-jackson,                   opendatalab-de/geojson-jackson,                   https://github.com/opendatalab-de/geojson-jackson,                   3,              20,    1841,       178,             4
                  openshift/openshift-java-client,                  openshift/openshift-java-client,                  https://github.com/openshift/openshift-java-client,                   4,              19,   30864,        64,             5
           orientechnologies/spring-data-orientdb,           orientechnologies/spring-data-orientdb,           https://github.com/orientechnologies/spring-data-orientdb,                   1,               1,    7230,       125,             7
                                oxo42/stateless4j,                          stateless4j/stateless4j,                          https://github.com/stateless4j/stateless4j,                   6,              19,    4126,       558,             6
                                    perf4j/perf4j,                                    perf4j/perf4j,                                    https://github.com/perf4j/perf4j,                   3,               4,   14256,       262,             3
                            protostuff/protostuff,                            protostuff/protostuff,                            https://github.com/protostuff/protostuff,                   6,               9,  102640,      1418,             4
                             quickfix-j/quickfixj,                             quickfix-j/quickfixj,                             https://github.com/quickfix-j/quickfixj,                   3,               5,   57647,       573,             7
                           rackerlabs/atom-hopper,                           rackerlabs/atom-hopper,                           https://github.com/rackerlabs/atom-hopper,                  15,              18,   18779,        58,            11
                             rithms/riot-api-java,                        taycaldwell/riot-api-java,                        https://github.com/taycaldwell/riot-api-java,                   2,               3,   17128,       174,             2
                                searchbox-io/Jest,                                searchbox-io/Jest,                                https://github.com/searchbox-io/Jest,                  15,              19,   29473,      1947,            19
                simpligility/android-maven-plugin,                simpligility/android-maven-plugin,                https://github.com/simpligility/android-maven-plugin,                  15,              18,   86709,      1028,            13
                              sk89q/commandhelper,                          EngineHub/CommandHelper,                          https://github.com/EngineHub/CommandHelper,                   7,              17,  223046,        88,             5
                           skyscreamer/JSONassert,                           skyscreamer/JSONassert,                           https://github.com/skyscreamer/JSONassert,                   8,              13,    4840,       717,             2
                            spotify/docker-client,                            spotify/docker-client,                            https://github.com/spotify/docker-client,                  15,              21,   35068,      1327,             8
                      spotify/docker-maven-plugin,                      spotify/docker-maven-plugin,                      https://github.com/spotify/docker-maven-plugin,                   8,              16,    3788,      2385,             3
                                spotify/hdfs2cass,                                spotify/hdfs2cass,                                https://github.com/spotify/hdfs2cass,                   1,               1,    3995,        75,             8
                                   spotify/helios,                                   spotify/helios,                                   https://github.com/spotify/helios,                  15,              16,   71553,      2035,             6
