,merge_dir,jdime_git_diff_size,spork_git_diff_size
27,f73cca0f3faf1bc5d72ba44d0ee42a1b6dabe28e/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,1109,146
28,135bc244a273a6a62f6b33fb869f93fe2b59bb1c/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,1667,460
29,1c659ffda9716e62df8927f68ddc61c8a1237f47/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,1531,1516
30,7666d3b4d140d6081654ce8cb810b2af80fdf158/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,1299,198
31,962598cede6f12d3739b8c81462a7ef5447953e7/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,1426,1507
32,962598cede6f12d3739b8c81462a7ef5447953e7/BatchGetItemResultMarshaller.java_9e71f9acc2c07b70f443ca1a1781ddd3c1a7deca,128,46
33,b57359e276976821428edeef1b981f5420989f88/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,1693,501
34,b57359e276976821428edeef1b981f5420989f88/AlternatorDBInProcessClient.java_73b201993c15370934700c17b095dc70952d146c,178,100
35,b57359e276976821428edeef1b981f5420989f88/AlternatorItemTest.java_7c4d83e2618fc2a0ab9ec42e4162260b5a35ecff,769,274
36,e98877f87081708e446b278c812eb504565ff5f9/AlternatorDBInProcessClient.java_73b201993c15370934700c17b095dc70952d146c,156,74
37,e98877f87081708e446b278c812eb504565ff5f9/AlternatorTestSuite.java_de59003af69573dc4de83c9de628d69b79673f01,12,11
38,faa37598a99d659e8db521049130d600e03df7fb/AlternatorDBHandler.java_7390fc17ae20ea77788a5a8f2bb5e55b661f31f7,1480,1572
39,5a6056799ba321ebad9ff55c6fa8cbda5fdf1be5/CompactRecord.java_795ab6cb7c76c1a288201f684cccb88ba2d7e0ea,41,29
40,6767497ccc440c9a64ec7526a7feab97a9cce367/ConfigLoader.java_effc6d34824490ce1a72c28730b779969dd32c98,365,121
41,6767497ccc440c9a64ec7526a7feab97a9cce367/ConfigLoaderTest.java_3bee0ea6f3df23b8942b283783aff40c606fb6fe,52,18
42,6767497ccc440c9a64ec7526a7feab97a9cce367/ConfigWriter.java_2e35b26265ac6ef8c0a529419fac47e74ffc907c,152,42
43,6767497ccc440c9a64ec7526a7feab97a9cce367/Configuration.java_ca9d41d7144795aa7695fddbd3948c1b9784c334,5,12
44,6ad464e584e8cc4adf8c2ebd12c45409b2384a48/JDBCDataSource.java_53ee6dbec6a7b8a5d72fc3954b4e8803b219107e,35,49
45,6ad464e584e8cc4adf8c2ebd12c45409b2384a48/JNDIDataSource.java_b6f4488714b1a968e61ffe96fed9ed4a4bc8c3a5,9,65
46,b5def8195d1e36fabcf3159c29a05b8998c2edf2/ConfigWriter.java_2e35b26265ac6ef8c0a529419fac47e74ffc907c,190,51
47,bf52872233c2441a808f77c5561e4367bc46699d/Processor.java_059a1e7848a1ce512226daf41ebff863bca39429,181,95
48,307531da89fcf51560e6bc3c7c93bfb26d177004/AccountController.java_629814407f6c50f9ff3805d0088d2ec271a3d1d6,158,37
49,3ee74a3b1dfa156c398cf910fda03bd37cc40b59/TestMultimaps.java_7ce7574f7337be5a877776276f44c18add7af0bf,362,4
50,b08f5a2dad867c4665d7e5d56926d52545ee32ae/GuavaSerializers.java_e492431d29402a53edffc0a6ff3d28d2bdd0ae25,103,56
51,d99575655de8749879e2a231027eca2f15996bf4/GuavaOptionalDeserializer.java_cc894e378a56692a6b92355dae15eeaddfe6333f,147,43
52,514201c7b774cfb3687e8a4048966026f9258685/GitHubSalesforceDeployController.java_f4054ac77194a201ada7940c20efb975f0e5b1be,1116,197
53,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/CompanyTest.java_819a8a8e885b3536c429d8e2759cadfebcd2a743,303,132
54,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/DBMetadata.java_5f535170157e66f57f068860cab7cd8e6e66ae72,51,6
55,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/ImmutableUnificationTools.java_b3897f3d86fea839e84177e700f9a423e676bfa0,601,84
56,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/ImplicitDBConstraintsTest.java_953e240691de859f03df486af15daf9d56e6f77e,159,48
57,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OWLAPIIndividualTranslator.java_be72ae24ab616b14e5fdd2ab29d50821e928fc8a,224,63
58,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OWLAPITranslatorOWL2QL.java_f94263236084788918b02666ab56b1c3ce49d6ac,1684,1345
59,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OntologyBuilder.java_3da66d6c93deebf262056165b7dc21d65db046d8,92,22
60,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OntologyBuilderImpl.java_950597cf03a6f13f7faabe273a2f2da820abcebf,741,167
61,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OntopMappingModule.java_4f05c8573034cb0517f087f9765db1bbf778df62,83,29
62,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/OntopOWLBindingSet.java_6718e1977ef34be0d0f8cd2ca1250a7b0501d015,140,45
63,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/QueryUnionSplitterImpl.java_e7a0143a8b0989d14b7b9277db3e8f7948a6ebe0,98,15
64,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/RDBMSSIRepositoryManager.java_24677b981940e5cd0eadb004c4a609ff63c89d67,1720,623
65,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/RDF4JGraphLoading.java_34cdb8b5ad92c5259bc32a80056b2e79a3b44d0a,329,87
66,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/SubstitutionFactory.java_b38bbaf1380e87f4904f8bbea2608ba3e38267f5,29,10
67,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/TMappingRule.java_528dd60b414dbdc72e8d3d534f0afaf2a20cdaf0,297,115
68,0c4c27d7d847ec596e02f8a75448f3fa1e9b5d83/TreeWitnessRewriter.java_bc5213484f1fc9d630009ba34d820da1ba0b1eac,910,655
69,1eb8e04abd634277f7c142cccab6705ecc401056/SQLGenerator.java_c67beddc43ee1d9539929a371828ea927328e476,3379,3097
70,26ac12f147950c286bc3d4695eb0a861ebb657da/AggregationNodeImpl.java_be637c5489b0be0549ed136aac5330447a88d632,333,27
71,26ac12f147950c286bc3d4695eb0a861ebb657da/BinaryNonCommutativeIQTreeImpl.java_95dd2d46b2042509430c3523f4aca954a64bd137,243,44
72,26ac12f147950c286bc3d4695eb0a861ebb657da/BinaryOrderedOperatorNode.java_3f6345b4c7e79fdf083b77c955b1b90f45284682,51,9
73,26ac12f147950c286bc3d4695eb0a861ebb657da/ConstructionNodeImpl.java_71dc58877dfd979675811e8b5705a37fb55c2570,659,87
74,26ac12f147950c286bc3d4695eb0a861ebb657da/DistinctNodeImpl.java_fffe9cd1954b9ea8ff3db502487cc552780314f2,224,3
75,26ac12f147950c286bc3d4695eb0a861ebb657da/FilterNodeImpl.java_698f09509220e4897f2f5651f3dba6479f35bb5d,437,28
76,26ac12f147950c286bc3d4695eb0a861ebb657da/InnerJoinNodeImpl.java_5c777490f754a03e8776c151007e2bf4a34aba0a,709,49
77,26ac12f147950c286bc3d4695eb0a861ebb657da/JoinOrFilterNodeImpl.java_0fe027327d6d2ca83e2bd0abc285c0562eedac24,174,19
78,26ac12f147950c286bc3d4695eb0a861ebb657da/LeftJoinNodeImpl.java_dce1d25c22dc1cebf9192add5338969998329a8c,797,77
79,26ac12f147950c286bc3d4695eb0a861ebb657da/NaryIQTreeImpl.java_86dac0108b9f604cb1603c6eefdf9dcc1e4e82e0,233,40
80,26ac12f147950c286bc3d4695eb0a861ebb657da/NaryOperatorNode.java_d775e4c6741409b90036afd7d8da9528a2add380,46,5
81,26ac12f147950c286bc3d4695eb0a861ebb657da/OrderByNodeImpl.java_17f6ffd334f2c03ca724a96feb41527d7d93bc96,302,11
82,26ac12f147950c286bc3d4695eb0a861ebb657da/SliceNodeImpl.java_802c41e739f8561aeaf49e7169de8fed08faefeb,344,21
83,26ac12f147950c286bc3d4695eb0a861ebb657da/UnaryIQTreeImpl.java_1f5429f2ce006a8390d890af516955c58ad1cb9a,269,32
84,26ac12f147950c286bc3d4695eb0a861ebb657da/UnaryOperatorNode.java_088fa1f01e705cd51a79e0836d21f282b2780678,44,5
85,26ac12f147950c286bc3d4695eb0a861ebb657da/UnionNodeImpl.java_3f1578b7a6afdc7ce14b20dec7164acb77cae9f8,973,50
86,2d72d2df31c059f86fb66f0b1e62561497a936ec/IntermediateQueryImpl.java_e5f7b6c49c1c62169fb6a12c1f8b7da5c3f5afae,511,32
87,39d03762c841b760e159831cdb7d3e36cfe6ae3a/SparqlAlgebraToDatalogTranslator.java_8c0392210d8dd1c896725c08141f5fbfa364edc3,2336,645
88,3ed30948901747bfd11e987ddc1272732ba548d9/Predicate.java_74e1a94bdf478dd9e112be0930edc135e96d95dd,164,81
89,3ed30948901747bfd11e987ddc1272732ba548d9/RDBMSSIRepositoryManager.java_aefaf513ed42c1b8dd3c047e7f495cdb0380f807,4298,1548
90,798cb16fabd151f6396f5b33e16e288da6bede10/SparqlAlgebraToDatalogTranslator.java_7363c7f3f038ffaa701314c555a9e85e3fb6ab1a,1165,529
91,bc93807cd487dfbc703d2ddd7e2246624997aba6/OneShotSQLGeneratorEngine.java_b6d00d74fe9c6a964e6ca527b23498fa307fb2e8,2474,2015
92,d974a5bc91e87388dd67387a4d530fc5bb0cd465/ObjectStringTemplateFunctionSymbolImpl.java_bbc27778e5d3a49bfc5f6402a39b07715763f14a,391,87
93,d9e06c79fafa1d1183755e2ac543919de99b9035/IntermediateQueryUtils.java_41282a878f040640a5fea426f067abe7debc3889,245,29
94,ddaaf31b9239854e8d157349562d2be5534c944b/ExpressionEvaluator.java_013b959362822dee82f131fa79cc6706731e33a2,2013,100
95,ddaaf31b9239854e8d157349562d2be5534c944b/SparqlAlgebraToDatalogTranslator.java_8c0392210d8dd1c896725c08141f5fbfa364edc3,2144,251
96,ee9444e46da016217aae45ec9c940bfa967d8b79/SparqlAlgebraToDatalogTranslator.java_7363c7f3f038ffaa701314c555a9e85e3fb6ab1a,1165,545
97,252f0516a5f3cf7d897c826f930ab45ee6211705/HttpClientImpl.java_abca17bef03a74062b50f7d79bb84525c2ecc1ac,201,51
98,252f0516a5f3cf7d897c826f930ab45ee6211705/HttpTest.java_2d06391dd6cdc3450127ccccff0301ee02202f75,1614,1195
99,252f0516a5f3cf7d897c826f930ab45ee6211705/NetClientImpl.java_ba044b4acb6a58d217729d3a34aa7ad503ead891,66,17
100,4a5b4ef871a041374ecd7a63fc0ae6ff1eda85df/JsonObject.java_27715538982f87f8c8d575c2e220baee260dda18,173,37
101,4b299df7fb21c195fd239c5c7734678797534d16/ClusteredEventBusTest.java_2cb824442f4bb39c2db2cd948975eba0669a7a20,71,33
102,5c1354f3bb7f2e64d89d56741995efd644cf02bf/ContextImpl.java_4ea008870365e01342755f7cc731630459cbe5d2,125,32
103,69add115f0eb71d7592762e61fe59dc64b34ea4f/NetTest.java_5f5944ebb09c3a245d6d2191e915a6864301866f,1601,126
104,749a984333640a0e1ec89f5cdac7f9aab8fb279a/HandlerRegistration.java_94e2e5d0096152000e648366c95796246d834b62,45,22
105,765dd20e053fb04fdfa51019e0863f7e754035b9/HttpTest.java_9af68e2e77c7cdff732198b0e72988c917bc3bdc,4514,3256
106,78aea977851105148f56b6d66d7cbf010c2d6b8e/EventBusOptionsConverter.java_d694798371256c505847bd5e3b72a535c47221be,385,213
107,78aea977851105148f56b6d66d7cbf010c2d6b8e/LauncherTest.java_0a70b6fcee1db16c7e04d03ddcb5fe5f3de0485f,342,53
108,78aea977851105148f56b6d66d7cbf010c2d6b8e/VertxOptionsConverter.java_01edebc63468c8850167834f62d28d9aa767dfd4,217,119
109,7bb8fa519382c20859ea90ea4cc1cb226d2a6252/LocalEventBusTest.java_201e5cb9d9e75c329b305cdd737e1577061f245d,485,57
110,a9745d82c7454e7b5d80242b88ef1b0fb1a62578/HttpServerRequestImpl.java_65bda2b217d39367bceb881e727558e8bf7cb096,188,30
111,a9745d82c7454e7b5d80242b88ef1b0fb1a62578/HttpServerResponseImpl.java_186a5f3454cd858a03f0f260dd6e309d21a41e45,221,56
112,a9745d82c7454e7b5d80242b88ef1b0fb1a62578/NetTest.java_5f5944ebb09c3a245d6d2191e915a6864301866f,1597,170
113,dbf20134629819edaa9d29c55cfbea83c7f7a258/Http1xServerRequest.java_ceacf57af050f4e0209bd7b1f07b425983afb80f,164,34
114,dbf20134629819edaa9d29c55cfbea83c7f7a258/HttpClientRequestImpl.java_4be8eece2ef87bd75d39b62dbfd685578c5a544b,194,49
115,3cfbd0d912c4b3ce65e43918295985ec358aa67e/HtmlElement.java_ce4cbe9b72f2903510c6f946a0f4065e4a56dd3c,205,9
116,3ca08b5ddd18efcdf33a0aa98c3324091dc6bede/JSONCompare.java_80ee18109a823c84dcf8fbaf96f42f3c5adc215a,507,22
117,3ca08b5ddd18efcdf33a0aa98c3324091dc6bede/JSONCompareResult.java_a31acafcd64098a7a938cb81e5b28b7576166a7d,141,8
118,3ee059aff0146d2da1f606bea23d526c19ce8660/JSONCompare.java_80ee18109a823c84dcf8fbaf96f42f3c5adc215a,507,50
119,3ee059aff0146d2da1f606bea23d526c19ce8660/JSONCompareResult.java_a31acafcd64098a7a938cb81e5b28b7576166a7d,139,29
120,64d735f4d939e738babff6749ed8cc59b34b4fdf/JSONAssertTest.java_dc843278b414b90d82b50d24c3d43b6bcbfd61cd,305,2
121,64d735f4d939e738babff6749ed8cc59b34b4fdf/JSONCompare.java_80ee18109a823c84dcf8fbaf96f42f3c5adc215a,504,47
122,8af86e361dc13ad476fb1dd6900f24018e774ae5/JSONAssert.java_785b792a116417c0b29f566c7937a39fb55060c6,513,121
123,8b2593cd7449b1496c9ff3844db6f0592a049052/JSONAssertTest.java_dc843278b414b90d82b50d24c3d43b6bcbfd61cd,424,141
124,8e5c358ed7df6b99d3757ba3519334dc221a2246/JSONAssertTest.java_dc843278b414b90d82b50d24c3d43b6bcbfd61cd,333,4
125,8e5c358ed7df6b99d3757ba3519334dc221a2246/JSONCompareResult.java_a31acafcd64098a7a938cb81e5b28b7576166a7d,158,18
126,9771c1904ea159f79dbaab6bbefae53db851ceb8/JSONAssertTest.java_dc843278b414b90d82b50d24c3d43b6bcbfd61cd,281,13
127,b4513d8349f0a0919e05f956568955dec673b75c/JSONAssertTest.java_dc843278b414b90d82b50d24c3d43b6bcbfd61cd,296,18
128,0bd22aaacca0e463c074d40e48dc7df6e3035a7a/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,2503,289
129,0bd22aaacca0e463c074d40e48dc7df6e3035a7a/EnvConfig.java_31ae6cb00ef789f83f59a5e2c87d58c495169e54,353,124
130,18d449166c11133997bbb914db0c4c480edff8c5/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,2566,408
131,655da01d5655a2e0e0546dbe095b440bd989c254/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,2523,309
132,f087863098a6bc43551643f94cbe1893348773e6/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,2671,371
133,f4679b4a369f4eb354583be916cd15df69faad9d/Application.java_c9e9147222d1fdc5039501f6df720c9acbd05908,2517,341
134,f4679b4a369f4eb354583be916cd15df69faad9d/Getdown.java_51eed0ec5c23227a33bc027caf4759bd0e50f3e4,1784,222
135,f4679b4a369f4eb354583be916cd15df69faad9d/Resource.java_c3f3d8354524a9e04c2234d9f574b288b83de184,515,85
136,3fe5361f7cb1611d95fe42e32b11a7b56c922d22/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,1089,567
137,6684feadf9f5a8586128e8396917cf2573eed3f9/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,1069,577
138,6af910cfba537139019985e23e86e964943fc7b2/CodePrinterTest.java_a4c2a879bb3723dba62b07afa01656eaa5d34d6b,1316,9
139,923e9d39644463e3f6bd0e6c965903fe65c23a39/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,1049,813
140,9efb1b8a401be5b7c8248ea4e1d7e7bc5394ee76/ProcessEs6Modules.java_445c2049161ed384409b2b72899d724870cede17,387,168
141,ab43241f143c688e364fcca58e5de15b068392a9/CodeGenerator.java_03ce7d97fbadd82187531f5125ffb0bf2f0a55f1,1481,642
142,ab43241f143c688e364fcca58e5de15b068392a9/CodePrinterTest.java_a4c2a879bb3723dba62b07afa01656eaa5d34d6b,1316,9
143,abbc3de80a9a30b202709e4aecad9ba4c0c71efc/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,906,617
144,ae1b779605968dbb88cf8e036c01d20c85d38349/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,1061,650
145,d31880936105d2da3fb0f3b085d0f8cfdb8b34c4/AbstractCommandLineRunner.java_12fae71764b7ed9529c0b64dad4421b3ddde3445,713,93
146,d31880936105d2da3fb0f3b085d0f8cfdb8b34c4/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,1049,649
147,d82b2948cb2a71125b6e74516fc28caee952337f/AbstractCommandLineRunner.java_12fae71764b7ed9529c0b64dad4421b3ddde3445,696,108
148,dc48185c72ddcd16782e046a4e856ab9288c65c2/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,1026,709
149,e35bc9dc58610d6cbf41882f539b7d8875fbf2d9/AbstractCommandLineRunner.java_12fae71764b7ed9529c0b64dad4421b3ddde3445,862,323
150,eebd40b7c9512e771d2b64d9200bc3802c37651b/IRFactory.java_ccd7acbaee1b9370b0900d21d9b9dced52e085ea,1532,155
151,25c6b89e116825607b16cbbe1af9bf0f89c00645/BulkIterationNode.java_5b7e4dd5fd1ac6a891974d616fd17cd7a1101080,299,38
152,25c6b89e116825607b16cbbe1af9bf0f89c00645/NepheleJobGraphGenerator.java_376b304dc4c67b4ea7430b10232193c0db9963c2,2301,327
153,25c6b89e116825607b16cbbe1af9bf0f89c00645/WorksetIterationNode.java_9ad6decfa41c544ab80522a4d51434f7a12be660,660,115
154,25c6b89e116825607b16cbbe1af9bf0f89c00645/WorksetIterationPlanNode.java_3b58fa177762fb1407b669149d9bc1bc8bc6a250,284,18
155,761c20a7b7657d5e71eaa17d6845641847385bce/MemoryArchivist.java_e39c7b57067562eacea0705595385ca607cadc5b,201,54
156,761c20a7b7657d5e71eaa17d6845641847385bce/RegularPactTask.java_3e95ee2389e0f7d9e780453ab8241e60fe5f919d,1964,151
157,9f914808d76e33d91b2c7f777809a1bb5b2ec59c/AbstractIterativePactTask.java_fa9708bdba5ded7974de0b4a35b714d94a66ffd0,552,29
158,eb79774381990f579c7f2a18c8547c891c141fac/FileInputFormat.java_e70800c9fbfd4f663f7de8064746196e2cd11378,997,151
159,56ce0ba61b3b843352b2055551ec9a5ae6ec6a45/SolrRelationTest.java_0235ad1d3716290fc8e1470b0c26c4024f46c6fc,150,74
160,61eb5d50678dd0a83c4bb54cee2cfca52cd45e21/SolrRelation.java_d511fd48d7d639db13822459f4e1860d8d3d1244,331,217
161,61eb5d50678dd0a83c4bb54cee2cfca52cd45e21/SolrRelationTest.java_0235ad1d3716290fc8e1470b0c26c4024f46c6fc,151,79
162,95b70f3c5e3d386e8125cbbf560071553d1e97cc/SolrRelationTest.java_0235ad1d3716290fc8e1470b0c26c4024f46c6fc,151,65
163,f08c5420792a6ccd6086779d985da5dee91d6d84/SolrRelation.java_d511fd48d7d639db13822459f4e1860d8d3d1244,303,105
164,c062019f7d16890e519d8d5edd02c408710190d2/OpenOrCloseByCategoryTest.java_eae72f037e194b049f9d4e092ba407bf5238fadc,361,95
165,c062019f7d16890e519d8d5edd02c408710190d2/TestProperties.java_3a161101b2834a98a7a637b4542c60f4bf21707e,451,80
166,22cc150edd1434c2ba4a2acc56d4e75b33eb1610/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1142,182
167,22cc150edd1434c2ba4a2acc56d4e75b33eb1610/ExtendedEmailPublisherDescriptor.java_5ef9e0021a9c42a69c98559d2cbd062d8fbd2640,697,33
168,2cf29d3d83aceb4ccc96c8316459edcb9d50c83e/BuildLogRegexContent.java_2d3e347b1f9f7094913ce933ddcd0c26c60188bc,376,49
169,6051cf962c4ee6123cb126793a4f6ab94977c745/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1483,178
170,8d7719de10a564d9c1860ef8d08152b68bf47f3e/EmailExtTemplateAction.java_883789352567b713d973bd0f9ad398e5fd5ab518,206,48
171,8d7719de10a564d9c1860ef8d08152b68bf47f3e/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1507,168
172,917c78a160c18bb335407a472b38bcc7a095a1b5/EmailExtTemplateAction.java_883789352567b713d973bd0f9ad398e5fd5ab518,202,29
173,9ab92d0c628acf6f258129959a1424b2e8334e51/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1020,65
174,c33a5ab387a274bb6a4d62c74836246d3f55a018/EmailExtWatchAction.java_f57335fc5250e0ef0891ac806b78b3da09f76a3f,321,70
175,c33a5ab387a274bb6a4d62c74836246d3f55a018/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1226,217
176,d4acbecd024ce776302d7adf72dc96c2a508e6a8/AttachmentUtils.java_859899a0d9f28f1d95e25a49f980c6ec793ffc77,341,45
177,d4acbecd024ce776302d7adf72dc96c2a508e6a8/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1202,79
178,d4acbecd024ce776302d7adf72dc96c2a508e6a8/ExtendedEmailPublisherDescriptor.java_5ef9e0021a9c42a69c98559d2cbd062d8fbd2640,807,22
179,d80b5c5ff7bb7a1d16376eb6a45653e49bed76c6/CulpritsRecipientProvider.java_6b9899ea165ab766d1b5d17262a0d732ab925ba9,94,24
180,d80b5c5ff7bb7a1d16376eb6a45653e49bed76c6/FirstFailingBuildSuspectsRecipientProvider.java_0da39f7cc3f69749a09f582b6c6f9816990a81e7,125,57
181,dfb6bbbb995057049d9bb47b28a40621ebefeaef/RecipientProviderUtilities.java_e176931f3ae1729b19f43a373d9e7079b68516f3,331,53
182,ea333903823016a1056b59c31148514f08270225/EmailType.java_f9c6be21b1dcfee434a3e280aa862254013623bf,478,4
183,ef770bc198ff12206b9ffc3eda358929449755e1/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1144,125
184,ef770bc198ff12206b9ffc3eda358929449755e1/ExtendedEmailPublisherDescriptorTest.java_806cd15e34c527bede31c4184cd054c0622ddc35,193,58
185,ef770bc198ff12206b9ffc3eda358929449755e1/ExtendedEmailPublisherTest.java_311b01a4101080f00729808720ddde1c7939144f,1701,123
186,f09fd1fb129f6dda545b011a1efb9fe3cf4a61dd/ExtendedEmailPublisher.java_0dd0915e36f57f5c053076acaef762d014f19f52,1220,37
187,fdc06d53b43dde032439ece0314c78100327f580/FailedTestsContentTest.java_60af99cd1aba848946928e62b2559e4bff743699,621,54
188,1ff9761c245124e628a0054c28c027c05d91ff4b/AffinityLock.java_b56bde07cdb00ae88aea7bab6d6722b318a1ac29,358,25
189,462cb448fbef064379141c12335a6da4e76b1591/AbstractAffinityImplTest.java_d8141f150065185b526f89b41d18779addeab6f8,111,27
190,462cb448fbef064379141c12335a6da4e76b1591/LinuxHelper.java_39a04b9e3fa3e2e908a9d0827d928df79572b67a,468,136
191,3665cccd0be8212101ab0ca3d93c5116f16fbfa6/OverclippedReadFilter.java_4bcb3a2aff6102c5a6c0be547a191480810d841a,80,39
