,merge_dir,jdime_git_diff_size,spork_git_diff_size
0,61150e61daf0fa8cc897a3b69a840b1d21586d1b/RayHandler.java_ff173c6219a4c405148a98e4ae9bb5627a7967cd,542,77
1,c93a48004b9fc7302c25a58b61045a596fcc1981/Light.java_65a85694dc823fb137ccf10f6ea79f6970f232ac,592,49
2,ea2ea87f298f15b6bf2816a8566466dacaa16057/GifImageParser.java_698f0e6e58b1612a21fb38b7d76bff0907f0c9e0,1833,131
3,913d3ce6432d691fed1c559885b45cae303f38fb/DistinctIterableDecorator.java_4f15f35a98547f92e49e89b5abcd987b7a80069b,153,25
4,913d3ce6432d691fed1c559885b45cae303f38fb/FindIterableDecorator.java_ddbb23a9c9d4d57d21e76659385e743d18eef531,297,23
5,913d3ce6432d691fed1c559885b45cae303f38fb/MapReduceIterableDecorator.java_fdb1af20a6ac278607fa5db65cbe80cbaca168da,270,23
6,913d3ce6432d691fed1c559885b45cae303f38fb/MongoDBTestBase.java_372f3f319c19165cb324fd3f132eb266b2f93163,193,64
7,913d3ce6432d691fed1c559885b45cae303f38fb/TestQuerySerialization.java_793d081a202dd2b0791077af2499a3f111f41659,680,39
8,07123194ec2b3857be609237d52ff2d4d9fc643b/DefaultSSLWebSocketServerFactory.java_43052f3a44b8baf56bc69d74acae889a338286a1,82,24
9,1bc60f74b609a1a446c65c60f59e06e749a9df1f/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1297,147
10,2861d78f4d9c0e1922a32ed8fc6157798608d34a/SSLSocketChannel2.java_8877c34887984f75b373ad950c8e458b7e807c7a,621,42
11,4232021c7364717219fd8e45645579a9ca0b3e8a/AutobahnServerTest.java_b73c9e92f084690b5d121c711f9f8cf9095897f1,137,40
12,4232021c7364717219fd8e45645579a9ca0b3e8a/Draft_6455.java_d35bc343295baf2e50a978f11c8803b6a4b6e67f,1662,526
13,60425255a37b1ee95260ed54b6d13925c05d8225/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,747,197
14,60425255a37b1ee95260ed54b6d13925c05d8225/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1264,345
15,64b757473bc328eff7f07ff826f560cad3a57c4e/SSLClientExample.java_a86b7d7da71e4ddefaa4779e94f2366010baab5f,152,130
16,64b757473bc328eff7f07ff826f560cad3a57c4e/SSLServerExample.java_d80574c9ab19750b1b8f6b19d0254f46549aa1f3,81,66
17,7bfa83d1c9a567e2cdf4ecb80edbf5a5e914cf32/SSLSocketChannel2.java_8877c34887984f75b373ad950c8e458b7e807c7a,698,151
18,7f9f9df6d35a081ecb56497dabff80b17cb944b4/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,761,93
19,7f9f9df6d35a081ecb56497dabff80b17cb944b4/WebSocketServer.java_396695ecb3f80a5a8c34c02beb4873b808a6b456,1192,413
20,85390d5c463db73f3367de9908e2f0e919816ae9/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1263,251
21,872ebf2f47cffa4ea5dba0ac5a2b4f2714f512d9/WebSocketServer.java_396695ecb3f80a5a8c34c02beb4873b808a6b456,1306,337
22,89418985308acfa964186a77b1eab8e6c21b9825/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1270,435
23,970943331f815655abeced00f34fbe6759126ebc/Issue825Test.java_a777191e135dc4e587de7dbc0842780f6063785d,173,49
24,970943331f815655abeced00f34fbe6759126ebc/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,1126,145
25,970943331f815655abeced00f34fbe6759126ebc/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1309,69
26,e00cfaf8afffe61ad1c1cc1c319cbaa109bb2d83/Draft_76.java_190439118f44ac6e2986f58dc3090c247d20d7fb,412,30
