merge_dir,jdime_num_conflicts,jdimeimproved_num_conflicts,spork_num_conflicts
Spoutcraft/LegacyLauncher/384475a5de173cb5adb28b972e4501380e9dd3fe/LoginForm.java_3b03555b613d2696c2f9bee9cdcdb5c69c33247e,1,1,0
Spoutcraft/LegacyLauncher/52fe591df20eb7bc72c422e6a73e7975c2b3b405/LoginForm.java_38b3ed8d7ca1ae998e377dda9a98541e437ca536,0,0,1
Spoutcraft/LegacyLauncher/b306613d4d65a6d1f1a6149677dc2f007b305299/LoginForm.java_3b03555b613d2696c2f9bee9cdcdb5c69c33247e,3,2,0
aaberg/sql2o/82a381f94e6ed7b51025e0a6e17d11bd97534bcd/PojoMetadata.java_a1e6273769cde264395003519d717d615489f804,4,3,2
aaberg/sql2o/8c49de454b71f3d005808aff8b1dd7f8ff140b30/Query.java_4f683128533e4023ffa290592c9dd59a6077436a,0,0,0
aaberg/sql2o/ad686ef0154bb2dbaaca6fd1e92b62fff0cc8be2/Query.java_759b98bd1dae53cd8d316edb8ee22713491d3aad,1,1,2
dankurka/mgwt/e1a6f74061c794548956e188e0261c652efda744/Slider.java_3432d581bf7dc5c7edaff0a40ca7671b2cd07b7a,1,1,0
mgodave/barge/f31feb51cf63b7f301c23b95cad6aff8705291ee/Candidate.java_9ac20a0ae22a728fdbebd48794c1e5afb8ebccac,1,1,1
mgodave/barge/f31feb51cf63b7f301c23b95cad6aff8705291ee/Follower.java_050b74a01c84a729d8e1880c0b9942c3f64bccfe,2,2,0
mgodave/barge/f31feb51cf63b7f301c23b95cad6aff8705291ee/Leader.java_38db209eda69782a151029779dea3f5d2a9ea564,2,2,0
mgodave/barge/f8f99ac8518a4ca78c84ec73ccbe503a53046352/Follower.java_050b74a01c84a729d8e1880c0b9942c3f64bccfe,0,0,0
iipc/openwayback/0ec2810f71130df86cacf7021861cefe584703ab/ArchivalUrlCSSReplayRenderer.java_26b22f5718b9b23209699372e77388aa05f0c4a7,1,1,0
iipc/openwayback/0ec2810f71130df86cacf7021861cefe584703ab/CharsetDetector.java_29615a79a12c4dc3fbd9b4a90c81b06080e19835,1,1,0
iipc/openwayback/0ec2810f71130df86cacf7021861cefe584703ab/MementoUtils.java_04da47a133c79169f8f2bfce146f498f8371d0f3,1,1,0
iipc/openwayback/2c45850efc6380887deb2be2c77cacaa12835c35/AccessPoint.java_860dd209cd9e21ab91bdc7653989f12712226b61,0,0,0
iipc/openwayback/3066bc09685c71523b8b47597f5f813867b5c94b/AccessPoint.java_860dd209cd9e21ab91bdc7653989f12712226b61,2,1,0
iipc/openwayback/70cc191f50309e2b99e351f1ec9c48fa31ab5e0f/MementoUtils.java_04da47a133c79169f8f2bfce146f498f8371d0f3,9,9,7
iipc/openwayback/7311b31417dd9bd3d1ecbea28bf8d271f1fd32d4/FastArchivalUrlReplayParseEventHandlerTest.java_e775e43afc268413cb4a91e927dbb3ea194c65a4,0,0,1
iipc/openwayback/952cf350fc2a38f5ddcfd9b90abcf03735f50667/MementoUtils.java_04da47a133c79169f8f2bfce146f498f8371d0f3,9,9,8
iipc/openwayback/b4ba7a30afb68d5d022c5157665793f801d7f48b/WaybackRequest.java_e9a6ea78bcba2e61150e8a7e1b7093274ae3c295,1,0,0
masterthought/cucumber-reporting/3298fe3a80390387beed6f4c0194386461fdcd85/StepTest.java_73cf3c846276e2bc5ea03c13f7beb7162ed7fb06,1,1,1
masterthought/cucumber-reporting/78e3dc94e23908b6afcefd9725537bc3d674ff77/Util.java_23f8ffc9453f353d601751031f3c666131e37980,1,0,1
masterthought/cucumber-reporting/9fa019efbb3e9219643a69303c549bdb7b6515a2/StepOverviewPage.java_8dd34e623797faf3715fabf6749db66b25ad8470,2,2,0
bennidi/mbassador/86ac61c24827efc6e866a2b1580b7a4f50f3f840/MetadataReader.java_8b76e4385e1ffc1dfffba9f2177b94383c17acc1,1,1,0
magefree/mage/4243a1d3a32fd3245cb8b798be967ff2c59b3277/MasterBiomancer.java_7faf8a03291197533b5166c59292b913bc59be70,2,2,0
jitsi/jitsi-videobridge/2e68d3dbd7fef457c64265aea976884c3745c482/Conference.java_4273146bcb8e621c5326b754a0571bd1afa77c6e,2,1,0
jitsi/jitsi-videobridge/2f4c1b5b0508acd0f54929d77a32bdd91e43f5be/MediaStreamTrackFactory.java_5c793639cf71ef5e27d68f778255f9d64d732a8f,0,0,0
jitsi/libjitsi/19656f2b9b10846db45f59f0ff9bab06e06d9e6b/RawPacket.java_41150abecddb686c869df512737ed7b52afde6e5,1,1,0
spotify/docker-maven-plugin/86d4bb7ccfb5ffa45172bfc6202dd636b584572d/BuildMojo.java_c2a9c707177ac4ea8a8ffe410e9388ead3f094ae,1,1,0
spotify/docker-maven-plugin/86d4bb7ccfb5ffa45172bfc6202dd636b584572d/BuildMojoTest.java_de09e5f90fa0d8eaaed1720eaeb606cc77d3f85b,1,0,0
spotify/docker-maven-plugin/ea04954ff13c9297658f3bea150b8c072df6e0fa/BuildMojo.java_c2a9c707177ac4ea8a8ffe410e9388ead3f094ae,2,1,0
protostuff/protostuff/5eb27a320214e395e5e032344483f76101fa0912/ByteArrayInput.java_82cdc1c0508984342c85a97b648c3ebdab82fe54,0,0,2
protostuff/protostuff/5eb27a320214e395e5e032344483f76101fa0912/ByteBufferInput.java_c219b7e347f6b521733f676cd16c1cd9b24eed51,0,0,2
protostuff/protostuff/73aac0fce080c89d856844998785b41a12f705fe/ProtoCompilerMojo.java_db59df9b55a07dc746663dfb54b2237717889e66,1,0,1
jalkanen/speed4j/18370b95449b0062c7f3286734bb393cf47e02a1/PeriodicalLog.java_e4b89f9198df9df93886d4d04df5dd4d58c9c628,2,1,0
tumblr/jumblr/f6efe42bf1b29e52b72832b8c1754fc93cd3ec4b/Photo.java_f7aa8698fc3aabceb24e5def7e3dc68171db7b97,2,1,0
wso2/siddhi/63ca4d83fd541621b9527a3e32ab0226a18bbf60/FilterTestCase.java_412a2ae5a8f1f19676e5a42610651d052318a53f,0,0,0
wso2/siddhi/d8a676ac46f8c5dff401f9f4d47c297eca9ae2d5/SiddhiContext.java_a0d6847e99df67f59e86f6c89e56b21a906da1f3,1,1,0
wso2/siddhi/d8a676ac46f8c5dff401f9f4d47c297eca9ae2d5/StreamJunction.java_e33609893d6290b2114712cbda6de6a268433937,1,1,0
jenkinsci/promoted-builds-plugin/4f62ff6259e7336e9378f5d9810dda9d7dbff61d/Promotion.java_c044ba726340735f0f56d3f198b0f8d76aedbfdb,0,0,1
jenkinsci/jclouds-plugin/9ee4a3760bad4876c8867dd2d0de0aa4fdf98fbd/JCloudsSlaveTemplate.java_267956555ddc8e267d7b4082376f0831b6a7bcba,0,0,2
jenkinsci/jira-plugin/06325901a1184b59e62ee5d21380b6b827a55dfe/JiraSession.java_669a56fb63ece0b65fe9efb37461d06405ad7ad0,0,0,1
jenkinsci/jira-plugin/06325901a1184b59e62ee5d21380b6b827a55dfe/JiraSite.java_40838f80a7eafba52f5d51c4e6c267b58473c47c,2,0,1
jenkinsci/jira-plugin/06fe2a20ca6948a1d5bfa041ba8fbe33b6a7b901/JiraVersionParameterDefinition.java_557c47f043c7a306da48ddd98b8392d3149291ff,0,0,2
jenkinsci/jira-plugin/0d75ad84d42b0cbad262650b5e7f94d2d146a264/JobIssueSelectorTest.java_f07e4b76517e3f10ff5fd1e509a5011241bb42cd,1,1,0
jenkinsci/jira-plugin/0d75ad84d42b0cbad262650b5e7f94d2d146a264/UpdaterTest.java_93186db37af4f06f008ab0c20faf215ae6eee372,1,1,0
jenkinsci/jira-plugin/2fd3df9b520343ea8e7f9cafb8fca1a3de5cdc9d/VersionCreatorTest.java_5adcb68294a57153297deb88bd87a817857edef5,2,1,0
jenkinsci/jira-plugin/da1ae78b723ae5931ca08199a3c6faf0169be759/JiraSite.java_40838f80a7eafba52f5d51c4e6c267b58473c47c,1,1,0
jenkinsci/email-ext-plugin/64641f05edafd8157ed50fb64238aa22d9f342af/CulpritsRecipientProvider.java_6b9899ea165ab766d1b5d17262a0d732ab925ba9,1,1,0
jenkinsci/email-ext-plugin/fdc06d53b43dde032439ece0314c78100327f580/FailedTestsContent.java_aa3eaf28568039b0886c45f879f4d4a88e1560b6,3,0,4
brianfrankcooper/YCSB/36194ed208dc4c57eca668af7d09f5ca94feda34/HBaseClient10.java_efbe6b024bba283c9660eb83884c173a497c04e3,3,2,1
brianfrankcooper/YCSB/56ebd56d860aa983bf253aa0325ab2014a3ebc31/OneMeasurementHdrHistogram.java_1b04bda8ad1824f944086dafb549dbab8adbf5cf,0,1,0
brianfrankcooper/YCSB/675b0fd0219e68c9497c7e21a68c8fa99902561f/GeodeClient.java_ae3258ad555551d8fe40935fca8df27d62ac1039,1,1,0
brianfrankcooper/YCSB/cd5e9d6f5e4d16b4fe6a115f87adf333bcd3f35b/CoreWorkload.java_d82dbd1c117b341e352a010336d6d55c9a2a2ddd,0,0,1
simpligility/android-maven-plugin/457df1cc943e2d623c90a21fb34f9b91af491964/ApkMojo.java_6ff547fc6111f3f8ee7213540b9f5d86c39bc7b6,1,0,0
simpligility/android-maven-plugin/677dd335d1846be313a29ca0794f9425541ea054/ApkMojo.java_6ff547fc6111f3f8ee7213540b9f5d86c39bc7b6,1,1,0
simpligility/android-maven-plugin/806aeaab149e3fd5bfbf3d56e9ef85506d8f1dbd/AbstractAndroidMojo.java_dd1e86108deec4342a862764db505352ed9f4c4a,2,2,0
simpligility/android-maven-plugin/87392ca4d18ae26e85c8d6409689cceba30fd24e/ApkMojo.java_6ff547fc6111f3f8ee7213540b9f5d86c39bc7b6,1,1,0
simpligility/android-maven-plugin/d0f2b7cfeea4b187211cacb0f437af7d3a1ebfcb/GenerateSourcesMojo.java_f20d3108635b2c2ac7bd0687d74ccdc3abd4908c,1,0,0
simpligility/android-maven-plugin/e92df7c080234a2158625f081eaebb03346c0ae4/ManifestUpdateMojo.java_0205dbe6c27c10dc7b9ca8ae67d2cb108d0f5cd6,3,3,0
komoot/photon/174316ed278ad562c5866b9240a1155c4dc9b6aa/App.java_ee56adfa1df9ae3d043c8d39bf94b02f41594725,1,1,0
komoot/photon/1dc5368dadf268c95ad07fcd072321e40004aea3/RequestHandler.java_cf3734114636a52123ead7a7a9dfe9c2da60bef3,6,0,3
komoot/photon/644d88b36da44a2717802c843221a895b9b01f45/CommandLineArgs.java_aec81a5a013e440673dc64cb5cc31fe37e432353,2,1,0
komoot/photon/644d88b36da44a2717802c843221a895b9b01f45/Importer.java_e882e01561d57dab05e0d14e0761a8aecb253b9e,1,0,0
komoot/photon/ad5a9aedeaa8d5b1bcf2fb4043979a74c52b13a8/NominatimConnector.java_392d85ce0e4ea74fd62f2d04c31bfc47e4c8ea9d,0,0,1
searchbox-io/Jest/1b0506c68eb72d23f20a59cd4206f6536ae5d481/GetIntegrationTest.java_90153f8a45f322ef51dcb187bff457f7bb37a46f,0,0,0
searchbox-io/Jest/852131bdaffef20e62d3374809d46d3ccfcd65a7/Cat.java_03db04dedff41b2ba69f1e4aae53869593684120,1,0,1
jsevellec/cassandra-unit/4e87b46fe206e0acf5cdbd1e8c396be97410a5e4/DataLoaderCompositeTypeTest.java_d7f2d37aca79d7d9401810d75f000b5c57851fb3,4,4,3
jsevellec/cassandra-unit/4e87b46fe206e0acf5cdbd1e8c396be97410a5e4/EmbeddedCassandraServerHelper.java_5408cc4a781578cc6480842d8eff2c4063cfb1c0,0,0,2
addthis/stream-lib/a946396485c9f3cb1aeb11230a19233a0c9c88c0/HyperLogLogPlus.java_7494febd2fca844b53f56aaf8a87a601abc7e44b,3,0,1
perf4j/perf4j/08c350e707562aa0e63880efd8d724ebcf3f5703/AopTest.java_6f18240184b2571781c97a22ebd1ffb4d7adbdf8,4,2,1
sk89q/commandhelper/5b5c7753ea3ec8dcbe75a78cf4beda12979181ad/EventBuilder.java_d8962be3fd6d23c4574941a37127bec750fc9048,1,0,0
oxo42/stateless4j/4c7880ec0e20cabecb1c31043e95ff6b8a707543/DynamicTriggerBehaviour.java_748b25a53228daf1aeca2c004660ec84eedb9cdf,0,0,1
oxo42/stateless4j/4c7880ec0e20cabecb1c31043e95ff6b8a707543/IgnoredTriggerBehaviour.java_f8d3683a708f5c6b013f3489dd704beba89ffc37,0,0,1
oxo42/stateless4j/c3e521ee3857f94babe0ffe5e8e18960dd2ac186/StateMachine.java_4411515afb72d6c2d9a481f6cef038a4c885520e,1,1,0
zonski/javafx-maven-plugin/7cb13ee9389abb80f9a4b2183dca8fe2d906ea97/JarMojo.java_ec17e1bd9966d518498c80edb545339e40583e3e,1,1,0
zonski/javafx-maven-plugin/e1ab9e3d26fc6ffbcfd1453efdb27c0ebdeda1ec/NativeMojo.java_aa9d7a2dfa9aa9822b9edd81d0b60b9a167ad491,1,0,0
TooTallNate/Java-WebSocket/1196574c3436f87682e1487f5ed0e179ea870ed3/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,1,1,1
TooTallNate/Java-WebSocket/89418985308acfa964186a77b1eab8e6c21b9825/LimitExceededException.java_922cc2e2897ca5f58faa8ad725708f13d7796f56,1,1,0
caelum/vraptor4/7487d13077edea97ee09ca8614b484c1b43c5c0c/DefaultLogicResultTest.java_ae97d4329f5e0f5e9bcd082630b9958c77773739,3,2,0
caelum/vraptor4/c0f0cbdff8417a5121102f0fa13fbc0f9fd7d7b1/DefaultControllerNotFoundHandler.java_22321649676f576becfef4bfaa94d9a82b3cb3cf,0,0,1
caelum/vraptor4/d2db2ee82e0ce97959ce198da23c0dcfb2ea6361/DefaultRouter.java_c1241dfc21127008c40d15322d2c3f45fa683374,1,1,0
caelum/vraptor4/dafdd0b9343918adba5cef256e489b38c68cfa83/VRaptor.java_939ca163e7a336d0bcd32dd6df7c72e9d44962ea,1,1,1
cglib/cglib/e734a97d4a6ab4c04f82ba79996bf27b12f5156a/TestEnhancer.java_ee4795db7eea7423a3ad7fde1494d79cc794feb9,0,0,1
BroadleafCommerce/BroadleafCommerce/2156b138591c8dac44feceff4ecb350a1a9b7292/BroadleafThemeProcessor.java_ed23464c2d8836d5c602ac988939a906f8ff69dc,1,1,0
BroadleafCommerce/BroadleafCommerce/4b78afee1c3793d9eaf3f12ec640fc769f00a85d/StatisticsServiceImpl.java_dd095992d1765cb97051452dbfc3032ff8b52d33,2,0,2
BroadleafCommerce/BroadleafCommerce/55ce56a517aa7c2d952cf97f6e2a66696d187d2c/SkuFieldServiceImpl.java_632a3ac8777932cf0816f8ff277013999684135a,2,1,1
BroadleafCommerce/BroadleafCommerce/9a7a215ac9e7a8da11a700061c459b92e48a4560/DynamicEntityRemoteService.java_71e2dc6bb823c39be24257be3fbc2fbb4d66b331,2,2,2
BroadleafCommerce/BroadleafCommerce/b2a9625a2da1de433a00f59e3aa0231c7d90f5c1/ExploitProtectionServiceImpl.java_2c905003c2d9e5193733c890dc8cdcb0269fb75b,1,0,1
BroadleafCommerce/BroadleafCommerce/fa4b5d825807cd4295efb4c79004c53f32b18dbd/PageTemplateCustomPersistenceHandler.java_db833ee8c36eaaafe440cfc8ff02287be3af73c5,1,0,3
stratosphere/stratosphere/25c6b89e116825607b16cbbe1af9bf0f89c00645/NepheleJobGraphGenerator.java_376b304dc4c67b4ea7430b10232193c0db9963c2,0,0,0
apache/commons-codec/c2b70e8e34a7c8ebd4c60e287c73f1e95526b2f5/B64.java_f045fcbc84893d86ef71c6705ea057495b4ec114,1,1,0
apache/curator/6e3c9e27b8e6e2cda6ad146b8a63a60346badb0d/PathChildrenCache.java_ce267e2af7692008d0b70000d430d510b33bf940,2,2,0
apache/curator/9a03ea93937af047e8ad13c2e3e3559520abfb0a/ConnectionStateManager.java_ac0b2c7eff5a6ace4264ab9ad24fb1d100e4dbe9,1,1,2
apache/curator/9a03ea93937af047e8ad13c2e3e3559520abfb0a/FailedDeleteManager.java_727ed767a59c106a571aa2bcfce14a8026c72d21,1,1,0
apache/curator/9a03ea93937af047e8ad13c2e3e3559520abfb0a/OperationAndData.java_b37ad87b87b28a0793f5ac80d2dcf95e1fa60451,1,0,1
apache/curator/9a03ea93937af047e8ad13c2e3e3559520abfb0a/TestResetConnectionWithBackgroundFailure.java_bf31e12dd95aca3be70b5cb2eb3b258ae72ad694,13,7,1
apache/curator/9a03ea93937af047e8ad13c2e3e3559520abfb0a/TestingZooKeeperMain.java_582df49916282be86c271fd4c1f91b07fe56a6a6,2,0,1
apache/curator/da7f18c618eb51e6aaaff7b10f79240cefaf0183/PersistentNode.java_c1fb4fba772f2d236131680d3c847e1e7be737bd,0,0,0
apache/avro/c299da64ee53de57ea34e589b858d7fe8ada72fd/Symbol.java_0c3073b3bf3a050d6405d7fe020cb29769fdba60,1,0,1
OpenHFT/Chronicle-Map/1441fe02f2a6964c73c98624bb8c21640ed668c5/TCPSocketReplicationBootStrapTest.java_2e5a7158e61b29098d3ecfbee28eeb7ac8b42eae,1,1,0
OpenHFT/Chronicle-Map/bf4a27342fef968ea2933152661816090104e1a4/ChronicleMapConvecter.java_884774124faa8fce717c56eab390029dbff33b5a,1,1,0
jmxtrans/jmxtrans/a01caaed066b6b1217d39b2c406828b9c6e632b7/JmxTransformerIT.java_ec8a63ed5f24683fbb4ac3b94288c178d037b8bf,1,1,0
jmxtrans/jmxtrans/f8a05a23a5acedb2dab704e53fe09d782d3b3b6a/FileConfiguration.java_2896e1a441722842c1e4ca8565032a4c9e093910,0,1,0
internetarchive/heritrix3/73db3ac6288b7f372eadd59916bcc111c3289c4f/CookieStoreTest.java_56753f17359a08d80298f826069af2c5bedc813f,1,1,0
internetarchive/heritrix3/e1476401ac71290e94110eca235173b6662dad82/AMQPUrlReceiver.java_a34a87af5f3bed23534d7c2f880816fa7099f798,4,1,1
internetarchive/heritrix3/e92e5f2bb38f8861695b1eb0127df9b6c32566d7/HTMLForm.java_c69e6920f089559fe251ca1179822e0423d81c7a,1,1,0
nishio-dens/bitbucket-pullrequest-builder-plugin/65d4d19adf3ab11b7327aa2f0a54199ddc32a7cf/BitbucketBuildRepositoryTest.java_2a3a1fda389451764bf435e868b99e35bb29de76,4,0,4
eclipse/vert.x/dbf20134629819edaa9d29c55cfbea83c7f7a258/HttpTest.java_9af68e2e77c7cdff732198b0e72988c917bc3bdc,0,0,1
jmock-developers/jmock-library/f4dbcaf8ec0c63cadb5d3ac30af83876d65b20f0/PrimitiveParameterTypesAcceptanceTests.java_893fbb3a8832c317d38457206ae55701f58f6b39,1,1,0
biojava/biojava/0475c1548c3a0bb028a60eda41bf84b7db9a3ae2/MmtfStructureReader.java_a57b253da3212b32499c6ee6104ab35d73b7f772,1,1,0
biojava/biojava/1206ace463fc42d6bd0d4a67a354514e877e0226/ProteinModificationIdentifier.java_014226ebcb356929b4e1c2c69f1c1b19e216809c,0,0,2
biojava/biojava/1206ace463fc42d6bd0d4a67a354514e877e0226/SymmetryTools.java_212325e8cc4a63736264969028a217a4fd2b9e72,2,1,1
aws/aws-dynamodb-session-tomcat/e9214bcf73462ba929652025404a95f8689430b4/DynamoDBSessionManager.java_cb9694670b0fddc72b98b6d99add13ed5980ed7b,2,2,0
aws/aws-dynamodb-session-tomcat/e9214bcf73462ba929652025404a95f8689430b4/DynamoDBSessionStore.java_77e4947a4ddf0d5a3b533efca8fe87f0f7633484,7,0,3
aws/aws-dynamodb-session-tomcat/e9214bcf73462ba929652025404a95f8689430b4/DynamoUtils.java_9ab74281e5ffbe04ba65673db61c4ab35f2c2cd5,1,1,0
NGDATA/hbase-indexer/69d7e0e323213027d45cd223ade94fab6b78f965/HBaseIndexingOptions.java_c77e6e48683aa1dca317cad11ecd7986354b17a1,1,1,0
stormpath/stormpath-sdk-java/43e34228aad955ad5b632e56be247c24766b426f/DefaultApplication.java_95ef1c6cb5cfb115780c0b48dbf0ea15a2bd06cd,2,1,1
stormpath/stormpath-sdk-java/ac776a2de0fdcb9059aefeb822fe2b0ca1c6e83d/DefaultClientBuilder.java_d677c8833da3afd2614861823ed1eefafda78764,0,0,1
stormpath/stormpath-sdk-java/fd884a8a77cded52398f765beb3205c11545d9cf/AbstractStormpathWebSecurityConfiguration.java_da8b249cbde534ded80763d61fcd2bd70a7e5bc0,0,0,1
Stratio/stratio-streaming/3e9d33bd34f1238cf2dccf0b37fb8e508ab5a253/StreamingEngine.java_717193b51c97dd99881bdf3acc9575e5661821a0,5,4,0
Stratio/stratio-streaming/8595a6ea594773c2360fa21e80560b283f4df91d/StreamingEngine.java_717193b51c97dd99881bdf3acc9575e5661821a0,5,4,0
Stratio/stratio-streaming/8935fd7a38bc18681c08d8227d40b03bcf4b92cb/StreamingEngine.java_717193b51c97dd99881bdf3acc9575e5661821a0,5,4,0
Stratio/stratio-streaming/e4fbf831de9ed5cb5e4427fb9ba3cfd89776c387/CassandraConfiguration.java_6e4f532f2545788fb7eec279934c5790e65c611c,1,0,1
Stratio/stratio-streaming/e4fbf831de9ed5cb5e4427fb9ba3cfd89776c387/StreamingContextConfiguration.java_b05dc53dde33dad18d4d7cb42c932268ff245f11,0,0,1
Stratio/stratio-streaming/f3f82047e2cb3851bf7ab12c2e39caca37b6a968/StreamingContextConfiguration.java_189da371a8d1b23dbb32d94c5f58bc9da362813c,4,4,3
Stratio/crossdata/33480abb3a9a95d29341b845008dcd74361e3236/ConnectorMetadata.java_bf82d86e20e217b4262aefff9e6291dbfb14f626,1,1,0
Stratio/crossdata/33480abb3a9a95d29341b845008dcd74361e3236/ManagementWorkflow.java_0c4690be526a92ef6e059aa1805cd39cfcfa239b,1,1,0
Progether/JAdventure/619ef14c5c275b28bb1e5eb61cb06d2b0571c886/Game.java_afab6749d2cd66bd2837c157395ba3071d80bea6,1,0,1
Progether/JAdventure/9ce4a7106cb271c5b47f4d5a7fadf9688989af94/LocationType.java_2a974694d2d0c0fa0060c64b24dda1cbd3ffb009,0,0,1
Progether/JAdventure/e8b11ca368df8693d0b058270762a3baaec76605/EntityTest.java_f7c26cb73d9fe67481e1eefd43b640f2795d54c4,1,1,0
xebia/Xebium/a82603c978dd1a1ec2277381ae197a01dc552f90/SeleniumDriverFixture.java_b218fa773a6e24834eb3067b69467e4095548440,0,0,0
xebia/Xebium/cbfab438393258e91f8f54b6020f3fd8c8c4cc9f/SeleniumDriverFixture.java_b218fa773a6e24834eb3067b69467e4095548440,1,1,0
dell-oss/Doradus/f722ac9e47c593aef2cfc84bb6361e444f74c6e8/RESTService.java_0a8debbd74b62cf8e94bea667969f2241e4dd8d9,1,0,1
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/AbstractOpenShiftResource.java_bb0ec8b4c27a876547bf511d106f83a332ec3d1e,1,1,0
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/DomainResource.java_6d56854b1ee6c5bfc2aa7f8bf117929ac5b1a6af,2,2,1
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/DomainResourceTest.java_08abcc352287a3d3864ff4735e8831c6d028c858,1,1,0
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/FormUrlEncodedMediaType.java_ec6c1bcb449b77e050f8ff6a5c7eae5e80fac851,1,1,1
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/IHttpClient.java_1011733315f804078d389ed956ee43cb8816c8a4,0,0,6
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/IMediaType.java_d96daa97a916578932c884785b6853e1afe13945,1,1,1
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/IOpenShiftJsonConstants.java_a1f35d88a1a2cceda011568144cecfc0bb3d094a,1,0,0
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/PayLoadReturningHttpClientFake.java_b6a80c3b1bea05d720d8f6cc9155b71dfa793642,1,1,1
openshift/openshift-java-client/888355d3d7a749bff42659154dc35ff294367628/RestService.java_d777966ca16117fc12eaf95ec580762f2dddb742,6,0,5
openshift/openshift-java-client/a13751f07c2b84f3e5656bab392f89f11aa36503/ApplicationAssert.java_05b10db1594ceb6189c321369955345e18377b27,0,0,1
BaseXdb/basex/3da00f8b7d33674b5d6c764a1c44e36b2150efee/Type.java_f3da41722ee073a01b929ab10c835a8ce6b13850,1,0,0
BaseXdb/basex/43406446418fa0817a16ba8bab3fe2548774aa35/Err.java_14a95f5c19097ab9c998dd53186b44612513b79d,0,0,1
BaseXdb/basex/5fcb39f982024e252a23fcc1bb62c4760902f6b4/Bln.java_b80f04dd72d7bedb45882b2cb2dfde0b3fa570eb,1,1,0
BaseXdb/basex/5fcb39f982024e252a23fcc1bb62c4760902f6b4/FNFunc.java_01fec9cbf6824e53d66f43d8f446817bc59fdecb,2,1,2
