merge_dir,jdime_num_conflicts,jdimeimproved_num_conflicts,spork_num_conflicts
rackerlabs/atom-hopper/303147dc067d2f8ca2a5d0b3dbbd852d0129a34d/PostgresFeedSource.java_bd1651d9d7a10f150493daa1d7241edd23fc5353,6,6,6
rackerlabs/atom-hopper/4f8b36f13b64ece48c57414d76e022cd92dd49a9/HibernateFeedSource.java_d9d4c45154ec38e7d54dfee24ebf3232c1be7bd8,0,0,1
rackerlabs/atom-hopper/648acdc9990963433025ba2d00a0cd1219059e9b/JdbcFeedSource.java_b5300f356f94dc03c1ce319c2a92d8b7fb21d63b,3,1,3
google/closure-compiler/eebd40b7c9512e771d2b64d9200bc3802c37651b/IntegrationTestCase.java_817d8f76b3f64bba037c3d955fb3b5f1b79fd9f6,12,12,0
google/closure-compiler/f7a42e07126fe196ec3ba3c791514347773f3140/CommandLineRunner.java_b259914607ed71e1888749933d9c5584b00a1fe1,4,3,0
mybatis/mybatis-3/2da2275185e8bb185d51eb522120ac32e5635225/Jsr310TypeHandlerRegistryTest.java_97ae4256a0dfa1e85fe03928bffb29c45d45f67f,3,3,0
mybatis/mybatis-3/b165e81780681be5e9da160a1ce46b49b27a4d25/Delete.java_c4977bbd4a05bfa33a0976116f67f056bff25592,0,0,1
mybatis/mybatis-3/b165e81780681be5e9da160a1ce46b49b27a4d25/Insert.java_93361c4958388962da2a9de2149e74c25a1b867f,0,0,1
mybatis/mybatis-3/b165e81780681be5e9da160a1ce46b49b27a4d25/MapperAnnotationBuilder.java_81bf4d0af01a78706c66c13cfbf18eccbe119456,2,2,1
mybatis/mybatis-3/b165e81780681be5e9da160a1ce46b49b27a4d25/Select.java_021d7909a799c709bea1ecf9fe3f26f6a9c13c93,0,0,1
mybatis/mybatis-3/b165e81780681be5e9da160a1ce46b49b27a4d25/SelectKey.java_5cb7bc13eb8fe312bd294fb4bb9f56a93b6726e4,0,0,1
mybatis/mybatis-3/b165e81780681be5e9da160a1ce46b49b27a4d25/Update.java_b5edec467aa8dfbf0528553549e1266307d33213,0,0,1
mybatis/mybatis-3/eb01a825d3c469c078f33f0fc5fc2d9f88af1d72/JdbcType.java_b149af922c3bafa672e9287337ab30bbe4812685,0,0,1
liquibase/liquibase-hibernate/2b0fd5a71d8302d1ddfa16f9d2e6cdd9a11e9553/TableSnapshotGenerator.java_708b00c5136976afa1f15a117c517fce66441caf,1,1,1
liquibase/liquibase-hibernate/a5f5fa4206fb0b71d527f0159d6d349d36dcb6b3/UniqueConstraintSnapshotGenerator.java_8a9b62058727824064cf23009a4a3a0a7f032980,2,2,0
larsga/Duke/6767497ccc440c9a64ec7526a7feab97a9cce367/ConfigurationImpl.java_73c225b8994c5636c659554d5f6766959b6b4637,1,1,0
larsga/Duke/c50c5d2d9d43c2bb251e5d0d196622ab06e078d3/DatabaseTest.java_5bbb95993d925be7a06a5dffd161f315d3116429,1,1,0
larsga/Duke/f9253d86531b8c72ebf2ecef64f82d1a8e7ae3f4/RegexpCleanerTest.java_3997dfae144e232b9e2efc297519200981a3dcf5,1,1,0
