                             merge_commit,                              base_commit,                              left_commit,                             right_commit, merge_driver, merge_ok, build_ok, num_expected_classfiles, num_equal_classfiles
 a0744b6257b3aad756b73799c8738826695b39f2, d9e0d7aeccdd409a8b7c70813ba22275c1026254, 7ce1adb60a71475fc52cca66ef2772cf8ec79748, 778c57c1b6b5b2298f1a7e1605cdc7e0f39f3b26,        spork,     True,     True,                       1,                    1
 a08b194095a06f0877178ddd57155bddadec9eb6, 17b54d69a25efb58fcf30014e1117389ab395258, 08bd43f56975445d5082d1767e62bbe1b92b193e, 7aeb58281bb3a665846a79299c407c5ffd3a6734,        spork,     True,     True,                       1,                    1
 c472968faa7ac4508511c2b6764f48ea29c73ee3, 2ac6b032aba7f1a94f60f9808fdcd76afa1d3c79, ee48fe123afcc3a9369e3792303b3fc40755fc52, 0801b6f850d27de9dedfdaf114e458bd409858e9,        spork,     True,     True,                       1,                    1
 c58de4b048ee811fc98ecdeaf2cef06c0d0aaa04, a379b99c594f1dd4c672943111354f4167527878, 13bc4becb2603f7558fc454c28cfb8b2c0344766, 09c0894f4052f9e6149489f39d9dd15e793770d0,        spork,     True,     True,                       1,                    0
 cf9c108b5c42845c67e60f5ee99d9d74d85e6b6d, f052d83da064852d4c5301149630f0596ab0febd, 46d0d2653e8ec1d6d7406ef15cdbfd4d0d118efa, 6a91516d1ec5e7b84c95be282537fffc0cf6e7c0,        spork,     True,     True,                       3,                    3
 d275cc656af4f03c0dabdd197da77f75ccdbc5b0, 20a65172b23521d93402a9e034108f9148792153, 9ab60c701c3b725382d478cac2a24f88f5138cd6, aa096656168621c07039e0af0a54c5cba4097176,        spork,     True,     True,                       3,                    3
 d61c73f7087b938e86c00a77bbc49a271f683acb, beb46d9349f3e7d83e0d137989c4dac5ccdbfa7d, 6735cef17aed8c99de19b8eaa934240176848dfc, 891ba05fe6549c21cef7fbf4312339ad92b1d182,        spork,     True,     True,                       1,                    1
 dc13e299fcf759ccc9b3e5c11a2c5bd2ab8cfda7, d275cc656af4f03c0dabdd197da77f75ccdbc5b0, 361a2bfe59ac7d165cf399548716dbc2c44176ff, f4f5cacbd3fc32c65deae92512567c21d0e7f6fa,        spork,     True,     True,                       2,                    2
 df5146088b58ea07810c069c8cb8c4795484c7c6, 361775e5e0a86a10e3f5f8fe6d35b67e98439639, f62136f1034a4d0d42050839d8dbdbc5cf091a1f, 6779484fc65112c8872898767729c0bf5be56f00,        spork,     True,     True,                       1,                    1
 e4802e308667f0b1c4a7e294b8f88978beb9ca13, 1542a609481bf919807f3cdfabf1e5f2022e1967, 4259de5523a82e0d375c20e24159c9d6aa0bb961, 5a636898a933632ac57c7a0a736483854b9245e7,        spork,     True,     True,                       2,                    2
 ee48fe123afcc3a9369e3792303b3fc40755fc52, eebcefbf06ef045fd2dd275ecd28d4269b2638c1, ad1fdd1811b5d01b420f773a197fad1165a0221a, 5377f7095b55baed8ec0a3972183d35f7fdee839,        spork,     True,     True,                       1,                    1
 eebcefbf06ef045fd2dd275ecd28d4269b2638c1, 2ac6b032aba7f1a94f60f9808fdcd76afa1d3c79, 670b400f23e63831a6e1f824a7c3cd0367fbc46d, 51648dc6f588e8cb356911b94c6f3ead60f483b4,        spork,     True,     True,                       1,                    1
 f2b933b2e07151221cb243e9e6baf53fc6010c90, 312670bddfb373f7f787e9def79766ef4935d1b0, d275cc656af4f03c0dabdd197da77f75ccdbc5b0, 38aaa404de4f7fd853498fbf9a4304aa4c53dedb,        spork,     True,     True,                       1,                    1
 f424c6033f0d7e5bb942731f2b961e93833d7d39, 3335accca8fa701b7a9522fccecde2d7cc30458a, b12ecc835086b32fe62b1dd9c6e06315110b4f3a, 99f54ed4845c9e2df157f0b94d9ff1ddf218d58a,        spork,     True,     True,                       2,                    2
 f5195f7082cb7efffe584c46aa29e70daae6488e, a05fe2283757954f67dc17f89ce931e894659230, 52fe7dcaffbbd18f3d4046de11e7961b95708e8a, a05380ea03893f3d1f2a5bd3f7ccce7736861ee6,        spork,     True,     True,                       1,                    1
 f62136f1034a4d0d42050839d8dbdbc5cf091a1f, e1d2a19b55a962c04c9cf04752a5eb262707efa6, bab8929b2b324fbf673624df4b9a48da8a805170, 55626f0c8f7a3f88413a8e3561d7c205aa9fa0c2,        spork,     True,     True,                       1,                    1
 f8bf5d969fbb7287c107e04188b9608c50db57f2, af112d3d925f3d18867df84b0e359595085cc7d3, a0744b6257b3aad756b73799c8738826695b39f2, c4cbc6cda2b62a5b6b1a15d42675654b703be511,        spork,     True,     True,                       1,                    1
 fdab05d2e78169414fe2ed6cd1a45013c7b51b6f, 1c74927d1776053107ec711a44485a8a8f12bd2c, 385bd200300b5ba448ac6fb84f5b43b22dd83cae, 243772c28eb2f269f79fae1bbce3c822e595f280,        spork,     True,     True,                       1,                    1
