project, num_merge_scenarios, num_file_merges, cloc, num_stars, num_core_contributors
jenkinsci/promoted-builds-plugin, 12, 17, 10049, 94, 9
jitsi/jitsi-videobridge, 4, 12, 29517, 1861, 8
jitsi/libjitsi, 8, 10, 215121, 478, 6
jmeter-maven-plugin/jmeter-maven-plugin, 2, 3, 6670, 332, 2
jmock-developers/jmock-library, 2, 2, 15454, 119, 4
jmxtrans/jmxtrans, 7, 10, 30681, 1598, 27
joel-costigliola/assertj-core, 15, 122, 353593, 1759, 13
jsevellec/cassandra-unit, 4, 8, 2837, 404, 7
kairosdb/kairosdb, 5, 5, 63425, 1540, 2
kohsuke/args4j, 8, 13, 8537, 679, 4
komoot/photon, 10, 17, 5582, 975, 6
larsga/Duke, 7, 12, 25230, 579, 1
libgdx/box2dlights, 2, 2, 4533, 206, 8
linkedin/camus, 14, 14, 13832, 850, 12
liquibase/liquibase-hibernate, 3, 3, 5398, 182, 8
lucidworks/spark-solr, 5, 6, 6824, 387, 6
Mach5/supersonic, 1, 2, 57885, 220, 3
magefree/mage, 15, 23, 1782052, 1060, 15
marceloverdijk/lesscss-maven-plugin, 1, 1, 1524, 176, 5
maven-nar/nar-maven-plugin, 15, 67, 53937, 211, 10
mboudreau/Alternator, 10, 18, 42612, 77, 3
mgodave/barge, 2, 14, 19997, 86, 2
mongojack/mongojack, 2, 10, 16990, 231, 7
mvel/mvel, 12, 16, 82004, 693, 3
mybatis/mybatis-3, 15, 28, 99846, 13625, 6
NGDATA/hbase-indexer, 3, 11, 29419, 334, 4
ning/compress, 1, 2, 9218, 218, 2
nishio-dens/bitbucket-pullrequest-builder-plugin, 10, 16, 3694, 122, 12
notnoop/java-apns, 8, 14, 10779, 1748, 5
OAuth-Apis/apis, 4, 4, 12277, 593, 3
ontop/ontop, 15, 55, 207180, 350, 7
opendatalab-de/geojson-jackson, 3, 20, 1841, 178, 4
OpenHFT/Chronicle-Map, 10, 14, 52715, 1956, 3
OpenHFT/Java-Thread-Affinity, 2, 3, 6671, 1036, 6
openshift/openshift-java-client, 4, 19, 30864, 64, 5
orientechnologies/spring-data-orientdb, 1, 1, 7230, 125, 7
OWASP/SecurityShepherd, 1, 15, 64642, 820, 7
pazone/ashot, 1, 2, 3287, 465, 7
perf4j/perf4j, 3, 4, 14256, 262, 3
Progether/JAdventure, 10, 19, 5976, 248, 6
protostuff/protostuff, 6, 9, 102640, 1418, 4
QSFT/Doradus, 4, 4, 97383, 202, 4
quickfix-j/quickfixj, 3, 5, 57647, 573, 7
rackerlabs/atom-hopper, 15, 18, 18779, 58, 11
searchbox-io/Jest, 15, 19, 29473, 1947, 19
siddhi-io/siddhi, 15, 34, 205790, 1045, 24
simpligility/android-maven-plugin, 15, 18, 86709, 1028, 13
skyscreamer/JSONassert, 8, 13, 4840, 717, 2
spotify/docker-client, 15, 21, 35068, 1327, 8
spotify/docker-maven-plugin, 8, 16, 3788, 2385, 3
spotify/hdfs2cass, 1, 1, 3995, 75, 8
spotify/helios, 15, 16, 71553, 2035, 6
Spoutcraft/LegacyLauncher, 15, 18, 13830, 94, 5
stanfordnlp/CoreNLP, 1, 1, 788082, 7242, 9
stateless4j/stateless4j, 6, 19, 4126, 558, 6
stormpath/stormpath-sdk-java, 15, 26, 133248, 220, 8
Stratio/crossdata, 15, 29, 3942, 167, 12
Stratio/Decision, 7, 8, 22973, 305, 13
stratosphere/stratosphere, 4, 8, 280025, 189, 9
taycaldwell/riot-api-java, 2, 3, 17128, 174, 2
threerings/getdown, 7, 11, 11609, 387, 6
tlrx/elasticsearch-test, 1, 2, 5286, 153, 2
TooTallNate/Java-WebSocket, 15, 23, 24306, 6883, 6
tumblr/jumblr, 2, 5, 4693, 278, 4
versly/wsdoc, 3, 4, 5089, 59, 3
WiQuery/wiquery, 2, 2, 49363, 62, 4
xebia/Xebium, 7, 7, 4408, 75, 3
yandex-qatools/htmlelements, 3, 3, 7253, 251, 5
