,project,merge_dir,merge_commit,base_blob,left_blob,right_blob,expected_blob,replayed_blob,merge_cmd,outcome,git_diff_size,num_conflicts,conflict_size,runtime
0,apache/commons-imaging,ea2ea87f298f15b6bf2816a8566466dacaa16057/GifImageParser.java_698f0e6e58b1612a21fb38b7d76bff0907f0c9e0,ea2ea87f298f15b6bf2816a8566466dacaa16057,de6142c2e8e3f3b211006120987960ef02ebc1c7,cffa321daba42891cfb793e0c156dac3dd044e60,d873f1f55d560a94652cb193c570e0787e3eab81,87dc21c8a886c019069c0ed9670ca8c418e24293,1e0c94c850deec96797402bcc6931d2ac5950c44,spork,success,131,0,0,2.753587635000258
1,apache/commons-imaging,ea2ea87f298f15b6bf2816a8566466dacaa16057/GifImageParser.java_698f0e6e58b1612a21fb38b7d76bff0907f0c9e0,ea2ea87f298f15b6bf2816a8566466dacaa16057,de6142c2e8e3f3b211006120987960ef02ebc1c7,cffa321daba42891cfb793e0c156dac3dd044e60,d873f1f55d560a94652cb193c570e0787e3eab81,87dc21c8a886c019069c0ed9670ca8c418e24293,a6cc9e763ac3c757eaa98cdf9c975bcecfc97088,jdime,success,1833,0,0,3.4979992859998674
0,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/DistinctIterableDecorator.java_4f15f35a98547f92e49e89b5abcd987b7a80069b,913d3ce6432d691fed1c559885b45cae303f38fb,54dd3a19573f93f94d8bf80fa98690bc8231e5de,cf88f8e8e015cfed5570e052d7479956c1bdb623,42bbe1d761eb9395413b2f93058183cb11eeb513,6b65167f88063f4c05d7803870d230b84d631efa,0c014c41d71fdc5cf08548beff9bcb57ede6f734,jdime,success,153,0,0,0.8604146160000709
1,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/DistinctIterableDecorator.java_4f15f35a98547f92e49e89b5abcd987b7a80069b,913d3ce6432d691fed1c559885b45cae303f38fb,54dd3a19573f93f94d8bf80fa98690bc8231e5de,cf88f8e8e015cfed5570e052d7479956c1bdb623,42bbe1d761eb9395413b2f93058183cb11eeb513,6b65167f88063f4c05d7803870d230b84d631efa,cd28d76db1e2d45934c11dd85f8101491583dd42,spork,success,25,0,0,1.1663101429999188
2,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/FindIterableDecorator.java_ddbb23a9c9d4d57d21e76659385e743d18eef531,913d3ce6432d691fed1c559885b45cae303f38fb,2a53cee10102467a48dbf5ca2f93631a6fd07d7e,5dcd093bbfb2f725f5f00f32f2de61393a92a456,c7403c548c4ce4212ad6738beba19e591da75439,efc0f60c37d82e9c5d49c0b1def8226f9ec54405,5c840086e2eb4c7a3dce55277ef6d4eee44db262,spork,success,23,0,0,1.3925539449996904
3,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/FindIterableDecorator.java_ddbb23a9c9d4d57d21e76659385e743d18eef531,913d3ce6432d691fed1c559885b45cae303f38fb,2a53cee10102467a48dbf5ca2f93631a6fd07d7e,5dcd093bbfb2f725f5f00f32f2de61393a92a456,c7403c548c4ce4212ad6738beba19e591da75439,efc0f60c37d82e9c5d49c0b1def8226f9ec54405,fd2acb64c5af52e8c08a542d993aa3a941545ce7,jdime,success,297,0,0,1.2061573809996844
4,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/JacksonMongoCollection.java_60078b196900929dedd0ea2a9c9bdf5af8a92daf,913d3ce6432d691fed1c559885b45cae303f38fb,7eaa0c5e9a7a6bf8f6f20fe25fc60a44c7f084a2,736a406498537415318c21dba3b092e461c9b88a,db6399b4a3d228e9a00b8e0bc5c48b89898da47b,f79c24bebdbbd478769f608e09df8530819102e5,2f4301a5d20c0688c012ecc236f4f258c133ab7f,spork,conflict,112,3,6,2.2204423449998103
5,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/JacksonMongoCollection.java_60078b196900929dedd0ea2a9c9bdf5af8a92daf,913d3ce6432d691fed1c559885b45cae303f38fb,7eaa0c5e9a7a6bf8f6f20fe25fc60a44c7f084a2,736a406498537415318c21dba3b092e461c9b88a,db6399b4a3d228e9a00b8e0bc5c48b89898da47b,f79c24bebdbbd478769f608e09df8530819102e5,9a6bb7aefa26792d65a77bca2f900ca8b9de5bd4,jdime,success,751,0,0,2.9842512319996786
6,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/MapReduceIterableDecorator.java_fdb1af20a6ac278607fa5db65cbe80cbaca168da,913d3ce6432d691fed1c559885b45cae303f38fb,0767377b04362c9099f17cae70ca73d76caf0716,9b3e1c35fbc5f2ce6b6e39238c48b0d2fff25bce,9f979da6fcf1a3c05e1e7f2da8aa201f0592cdb0,91fb6a9f1d5003582ae0d1c01490c47f762137e8,a0c0551466b2a83b2e47000b12eda21b10757442,jdime,success,270,0,0,1.0643250779999107
7,devbliss/mongojack,913d3ce6432d691fed1c559885b45cae303f38fb/MapReduceIterableDecorator.java_fdb1af20a6ac278607fa5db65cbe80cbaca168da,913d3ce6432d691fed1c559885b45cae303f38fb,0767377b04362c9099f17cae70ca73d76caf0716,9b3e1c35fbc5f2ce6b6e39238c48b0d2fff25bce,9f979da6fcf1a3c05e1e7f2da8aa201f0592cdb0,91fb6a9f1d5003582ae0d1c01490c47f762137e8,b5706f5c6ed47ae2eaf5e2041f4433af057a4385,spork,success,23,0,0,1.4293171959998292
